iter	Passed	Remaining
0	3	3209
1	3	1728
2	3	1228
3	3	977
4	4	853
5	4	759
6	4	688
7	5	631
8	5	584
9	5	548
10	5	519
11	6	494
12	6	473
13	6	462
14	6	448
15	7	435
16	7	427
17	7	415
18	7	405
19	8	395
20	8	387
21	8	380
22	8	372
23	8	365
24	9	360
25	9	355
26	9	353
27	10	348
28	10	343
29	10	339
30	10	335
31	10	332
32	11	329
33	11	325
34	11	322
35	11	320
36	12	317
37	12	315
38	12	312
39	12	310
40	13	310
41	13	307
42	13	306
43	14	304
44	14	302
45	14	300
46	14	298
47	14	296
48	15	295
49	15	293
50	15	291
51	15	290
52	16	288
53	16	287
54	16	286
55	16	285
56	17	283
57	17	283
58	17	281
59	17	280
60	18	279
61	18	277
62	18	276
63	18	275
64	19	274
65	19	273
66	19	272
67	19	272
68	20	271
69	20	270
70	20	269
71	20	269
72	21	268
73	21	267
74	21	266
75	21	265
76	22	264
77	22	264
78	22	263
79	22	262
80	23	261
81	23	260
82	23	257
83	23	257
84	23	256
85	24	256
86	24	255
87	24	254
88	24	253
89	25	252
90	25	252
91	25	251
92	25	250
93	25	249
94	26	249
95	26	248
96	26	248
97	26	247
98	27	247
99	27	247
100	27	246
101	27	245
102	28	244
103	28	244
104	28	243
105	28	243
106	29	242
107	29	242
108	29	241
109	29	241
110	30	241
111	30	241
112	30	240
113	30	240
114	31	239
115	31	239
116	31	238
117	31	237
118	32	237
119	32	236
120	32	236
121	32	234
122	32	234
123	33	234
124	33	233
125	33	233
126	33	232
127	34	231
128	34	231
129	34	230
130	34	230
131	35	230
132	35	233
133	36	233
134	36	233
135	36	232
136	36	232
137	37	232
138	37	231
139	37	231
140	37	230
141	37	229
142	38	228
143	38	228
144	38	227
145	38	227
146	39	227
147	39	226
148	39	226
149	39	225
150	40	225
151	40	224
152	40	224
153	40	223
154	40	223
155	41	222
156	41	222
157	41	221
158	41	221
159	42	220
160	42	219
161	42	219
162	42	219
163	43	219
164	43	218
165	43	218
166	43	218
167	43	217
168	44	217
169	44	216
170	44	216
171	44	216
172	45	215
173	45	215
174	45	214
175	45	214
176	46	214
177	46	213
178	46	213
179	46	212
180	47	212
181	47	212
182	47	212
183	47	211
184	47	211
185	48	210
186	48	210
187	48	210
188	49	210
189	49	209
190	49	209
191	49	209
192	50	209
193	50	208
194	50	208
195	50	208
196	51	208
197	51	208
198	51	207
199	51	207
200	52	207
201	52	206
202	52	207
203	52	206
204	53	206
205	53	206
206	53	206
207	54	205
208	54	205
209	54	205
210	54	205
211	55	205
212	55	205
213	55	204
214	55	204
215	56	204
216	56	203
217	56	203
218	56	203
219	57	203
220	57	202
221	57	202
222	57	202
223	58	201
224	58	201
225	58	201
226	59	200
227	59	200
228	59	200
229	59	200
230	60	200
231	60	199
232	60	199
233	60	199
234	61	198
235	61	198
236	61	198
237	61	197
238	62	197
239	62	197
240	62	196
241	62	196
242	62	196
243	63	195
244	63	195
245	63	195
246	63	194
247	64	194
248	64	194
249	64	193
250	64	193
251	65	193
252	65	193
253	65	192
254	65	192
255	66	192
256	66	192
257	66	191
258	66	191
259	67	191
260	67	190
261	67	190
262	68	190
263	68	190
264	68	190
265	69	190
